

ATOP - raspberrypi     2023/11/15  19:55:18     ----------------     19s elapsed
PRC | sys   13.18s | user  10.56s | #proc    169 | #zombie    0 | #exit      4 |
CPU | sys     100% | user     82% | irq       2% | idle    167% | wait     49% |
cpu | sys      29% | user     20% | irq       1% | idle     39% | cpu000 w 11% |
cpu | sys      24% | user     24% | irq       1% | idle     37% | cpu001 w 15% |
cpu | sys      25% | user     18% | irq       0% | idle     47% | cpu003 w 10% |
cpu | sys      22% | user     19% | irq       0% | idle     45% | cpu002 w 13% |
CPL | avg1    1.77 | avg5    0.38 | avg15   0.12 | csw    66202 | intr  181455 |
MEM | tot   909.6M | free  572.7M | cache 156.7M | buff   20.3M | slab   42.7M |
SWP | tot   100.0M | free  100.0M | swcac   0.0M | vmcom 561.6M | vmlim 554.8M |
DSK |      mmcblk0 | busy     66% | read    4436 | write     52 | avio 2.80 ms |
NET | transport    | tcpi       8 | tcpo       8 | udpi      24 | udpo      11 |
NET | network      | ipi       49 | ipo       39 | ipfrw      0 | deliv     40 |
NET | wlan0     0% | pcki      29 | pcko      21 | si    1 Kbps | so    1 Kbps |
NET | lo      ---- | pcki      22 | pcko      22 | si    0 Kbps | so    0 Kbps |
                   *** system and process activity since boot ***
    PID VSTACK  VSIZE  RSIZE  PSIZE  VGROW  RGROW SWAPSZ  MEM CMD            
    516   132K 14376K  6536K     0K 14376K  6536K     0K   1% systemd-logind 
    607   132K 13636K  6428K     0K 13636K  6428K     0K   1% sshd           
    184   132K 23916K  6400K     0K 23916K  6400K     0K   1% systemd-udevd  
    173   132K 22124K  6248K     0K 22124K  6248K     0K   1% systemd-udevd  
    702   132K 19976K  6236K     0K 19976K  6236K     0K   1% pulseaudio     
    180   132K 23936K  5996K     0K 23936K  5996K     0K   1% systemd-udevd  
    626   132K 16644K  5800K     0K 16644K  5800K     0K   1% dbus           
    179   132K 21808K  5684K     0K 21808K  5684K     0K   1% systemd-udevd  
    183   132K 23916K  5384K     0K 23916K  5384K     0K   1% systemd-udevd  
    655   132K 10824K  5024K     0K 10824K  5024K     0K   1% vncagent       
    687   132K 101.1M  4832K     0K 101.1M  4832K     0K   1% (sd-pam)       
    523   132K 13576K  4780K     0K 13576K  4780K     0K   1% wpa_supplicant 
    500   132K 12168K  4340K     0K 12168K  4340K     0K   0% sudo           
    443   132K  8440K  4104K     0K  8440K  4104K     0K   0% dbus-daemon    
    608   132K 13992K  3748K     0K 13992K  3748K     0K   0% wpa_supplicant 
    343   132K 88100K  3428K     0K 88100K  3428K     0K   0% systemd-timesy 
    715   132K  7688K  3340K     0K  7688K  3340K     0K   0% dbus-daemon    
    701   132K 15388K  3324K     0K 15388K  3324K     0K   0% pipewire       
    481   132K 215.7M  3304K     0K 215.7M  3304K     0K   0% rsyslogd       
    157   132K 16848K  3188K     0K 16848K  3188K     0K   0% systemd-fsckd  
    622   132K 17764K  2840K     0K 17764K  2840K     0K   0% (agetty)       
    624   132K 17764K  2840K     0K 17764K  2840K     0K   0% (agetty)       
    438   132K  7068K  2836K     0K  7068K  2836K     0K   0% avahi-daemon   
    713   132K 149.9M  2644K     0K 149.9M  2644K     0K   0% rtkit-daemon   
    723   132K  4128K  2408K     0K  4128K  2408K     0K   0% xrdb           
    442   132K  6692K  2404K     0K  6692K  2404K     0K   0% cron           
    517   132K  5480K  2388K     0K  5480K  2388K     0K   0% thd            
    726   132K  5848K  2324K     0K  5848K  2324K     0K   0% cpp            
    597   132K  6956K  2304K     0K  6956K  2304K     0K   0% vncserver-x11- 
    538   132K  3048K  1828K     0K  3048K  1828K     0K   0% dhcpcd         
    703   132K  2060K  1384K     0K  2060K  1384K     0K   0% Xsession       
    589   132K  6016K  1276K     0K  6016K  1276K     0K   0% epmd           
    727   132K  5236K   532K     0K  5236K   532K     0K   0% timeout        
    724   132K  2060K   516K     0K  2060K   516K     0K   0% sh             
    725   132K  2060K   480K     0K  2060K   480K     0K   0% sh             
    452   132K  6888K   312K     0K  6888K   312K     0K   0% avahi-daemon   
    584   132K 92288K    92K     0K 92288K    92K     0K   0% rngd           
    441   132K  1948K    72K     0K  1948K    72K     0K   0% atopacctd      
      2     0K     0K     0K     0K     0K     0K     0K   0% kthreadd       
      3     0K     0K     0K     0K     0K     0K     0K   0% rcu_gp         
      4     0K     0K     0K     0K     0K     0K     0K   0% rcu_par_gp     
      5     0K     0K     0K     0K     0K     0K     0K   0% slub_flushwq   
      6     0K     0K     0K     0K     0K     0K     0K   0% netns          
      7     0K     0K     0K     0K     0K     0K     0K   0% kworker/0:0+ev 
      8     0K     0K     0K     0K     0K     0K     0K   0% kworker/0:0H-m 
      9     0K     0K     0K     0K     0K     0K     0K   0% kworker/u8:0-e 
     10     0K     0K     0K     0K     0K     0K     0K   0% mm_percpu_wq   
     11     0K     0K     0K     0K     0K     0K     0K   0% rcu_tasks_kthr 
     12     0K     0K     0K     0K     0K     0K     0K   0% rcu_tasks_rude 
     13     0K     0K     0K     0K     0K     0K     0K   0% rcu_tasks_trac 
     14     0K     0K     0K     0K     0K     0K     0K   0% ksoftirqd/0    
     15     0K     0K     0K     0K     0K     0K     0K   0% rcu_preempt    
     16     0K     0K     0K     0K     0K     0K     0K   0% migration/0    
     17     0K     0K     0K     0K     0K     0K     0K   0% cpuhp/0        
     18     0K     0K     0K     0K     0K     0K     0K   0% cpuhp/1        
     19     0K     0K     0K     0K     0K     0K     0K   0% migration/1    
     20     0K     0K     0K     0K     0K     0K     0K   0% ksoftirqd/1    
     21     0K     0K     0K     0K     0K     0K     0K   0% kworker/1:0-ev 
     22     0K     0K     0K     0K     0K     0K     0K   0% kworker/1:0H-m 
     23     0K     0K     0K     0K     0K     0K     0K   0% cpuhp/2        
     24     0K     0K     0K     0K     0K     0K     0K   0% migration/2    
     25     0K     0K     0K     0K     0K     0K     0K   0% ksoftirqd/2    
     26     0K     0K     0K     0K     0K     0K     0K   0% kworker/2:0-ev 
     27     0K     0K     0K     0K     0K     0K     0K   0% kworker/2:0H-k 
     28     0K     0K     0K     0K     0K     0K     0K   0% cpuhp/3        
     29     0K     0K     0K     0K     0K     0K     0K   0% migration/3    
     30     0K     0K     0K     0K     0K     0K     0K   0% ksoftirqd/3    
     31     0K     0K     0K     0K     0K     0K     0K   0% kworker/3:0-ev 
     32     0K     0K     0K     0K     0K     0K     0K   0% kworker/3:0H-e 
     33     0K     0K     0K     0K     0K     0K     0K   0% kdevtmpfs      
     34     0K     0K     0K     0K     0K     0K     0K   0% inet_frag_wq   
     35     0K     0K     0K     0K     0K     0K     0K   0% kworker/0:1-ev 
     36     0K     0K     0K     0K     0K     0K     0K   0% kauditd        
     37     0K     0K     0K     0K     0K     0K     0K   0% kworker/0:2-cg 
     38     0K     0K     0K     0K     0K     0K     0K   0% khungtaskd     
     39     0K     0K     0K     0K     0K     0K     0K   0% kworker/u8:1+e 
     40     0K     0K     0K     0K     0K     0K     0K   0% oom_reaper     
     41     0K     0K     0K     0K     0K     0K     0K   0% writeback      
     42     0K     0K     0K     0K     0K     0K     0K   0% kcompactd0     
     43     0K     0K     0K     0K     0K     0K     0K   0% kintegrityd    
     44     0K     0K     0K     0K     0K     0K     0K   0% kblockd        
     45     0K     0K     0K     0K     0K     0K     0K   0% blkcg_punt_bio 
     46     0K     0K     0K     0K     0K     0K     0K   0% watchdogd      
     47     0K     0K     0K     0K     0K     0K     0K   0% kworker/u8:2-e 
     48     0K     0K     0K     0K     0K     0K     0K   0% kworker/3:1-ev 
     49     0K     0K     0K     0K     0K     0K     0K   0% kworker/3:1H-k 
     50     0K     0K     0K     0K     0K     0K     0K   0% rpciod         
     51     0K     0K     0K     0K     0K     0K     0K   0% xprtiod        
     52     0K     0K     0K     0K     0K     0K     0K   0% kworker/u8:3   
     53     0K     0K     0K     0K     0K     0K     0K   0% kworker/1:1-ev 
     54     0K     0K     0K     0K     0K     0K     0K   0% kworker/2:1-ev 
     55     0K     0K     0K     0K     0K     0K     0K   0% kswapd0        
     56     0K     0K     0K     0K     0K     0K     0K   0% nfsiod         
     57     0K     0K     0K     0K     0K     0K     0K   0% kthrotld       
     59     0K     0K     0K     0K     0K     0K     0K   0% kworker/3:2-ev 
     62     0K     0K     0K     0K     0K     0K     0K   0% hwrng          
     63     0K     0K     0K     0K     0K     0K     0K   0% iscsi_conn_cle 
     64     0K     0K     0K     0K     0K     0K     0K   0% nvme-wq        
     65     0K     0K     0K     0K     0K     0K     0K   0% nvme-reset-wq  
     66     0K     0K     0K     0K     0K     0K     0K   0% nvme-delete-wq 
     67     0K     0K     0K     0K     0K     0K     0K   0% dwc_otg        
     68     0K     0K     0K     0K     0K     0K     0K   0% DWC Notificati 
     69     0K     0K     0K     0K     0K     0K     0K   0% uas            
     70     0K     0K     0K     0K     0K     0K     0K   0% vchiq-slot/0   
     71     0K     0K     0K     0K     0K     0K     0K   0% vchiq-recy/0   
     72     0K     0K     0K     0K     0K     0K     0K   0% vchiq-sync/0   
     73     0K     0K     0K     0K     0K     0K     0K   0% zswap-shrink   
     74     0K     0K     0K     0K     0K     0K     0K   0% kworker/u9:0+h 
     95     0K     0K     0K     0K     0K     0K     0K   0% kworker/2:2-ev 
     96     0K     0K     0K     0K     0K     0K     0K   0% mmc_complete   
     97     0K     0K     0K     0K     0K     0K     0K   0% kworker/2:1H-k 
     98     0K     0K     0K     0K     0K     0K     0K   0% kworker/0:1H-k 
     99     0K     0K     0K     0K     0K     0K     0K   0% kworker/1:2-ev 
    100     0K     0K     0K     0K     0K     0K     0K   0% kworker/1:1H-m 
    101     0K     0K     0K     0K     0K     0K     0K   0% jbd2/mmcblk0p2 
    102     0K     0K     0K     0K     0K     0K     0K   0% ext4-rsv-conve 
    103     0K     0K     0K     0K     0K     0K     0K   0% kworker/1:2H   
    104     0K     0K     0K     0K     0K     0K     0K   0% kworker/2:2H-m 
    106     0K     0K     0K     0K     0K     0K     0K   0% kworker/0:2H   
    107     0K     0K     0K     0K     0K     0K     0K   0% irq/184-usb-00 
    108     0K     0K     0K     0K     0K     0K     0K   0% mld            
    109     0K     0K     0K     0K     0K     0K     0K   0% ipv6_addrconf  
    124     0K     0K     0K     0K     0K     0K     0K   0% kworker/3:2H   
    150     0K     0K     0K     0K     0K     0K     0K   0% kworker/1:3-ev 
    174     0K     0K     0K     0K     0K     0K     0K   0% kworker/0:3-ev 
    196     0K     0K     0K     0K     0K     0K     0K   0% vchiq-keep/0   
    197     0K     0K     0K     0K     0K     0K     0K   0% SMIO           
    223     0K     0K     0K     0K     0K     0K     0K   0% spi0           
    228     0K     0K     0K     0K     0K     0K     0K   0% mmal-vchiq     
    230     0K     0K     0K     0K     0K     0K     0K   0% mmal-vchiq     
    244     0K     0K     0K     0K     0K     0K     0K   0% mmal-vchiq     
    245     0K     0K     0K     0K     0K     0K     0K   0% mmal-vchiq     
    246     0K     0K     0K     0K     0K     0K     0K   0% mmal-vchiq     
    248     0K     0K     0K     0K     0K     0K     0K   0% mmal-vchiq     
    249     0K     0K     0K     0K     0K     0K     0K   0% mmal-vchiq     
    278     0K     0K     0K     0K     0K     0K     0K   0% kworker/2:3-ev 
    299     0K     0K     0K     0K     0K     0K     0K   0% cfg80211       
    309     0K     0K     0K     0K     0K     0K     0K   0% cec-vc4-hdmi   
    310     0K     0K     0K     0K     0K     0K     0K   0% irq/82-vc4 hdm 
    319     0K     0K     0K     0K     0K     0K     0K   0% card0-crtc0    
    320     0K     0K     0K     0K     0K     0K     0K   0% card0-crtc1    
    321     0K     0K     0K     0K     0K     0K     0K   0% card0-crtc2    
    322     0K     0K     0K     0K     0K     0K     0K   0% card0-crtc3    
    323     0K     0K     0K     0K     0K     0K     0K   0% brcmf_wq/mmc1: 
    324     0K     0K     0K     0K     0K     0K     0K   0% brcmf_wdog/mmc 
    346     0K     0K     0K     0K     0K     0K     0K   0% kworker/3:3-ev 
    350     0K     0K     0K     0K     0K     0K     0K   0% kworker/u9:1-h 
    729     0K     0K     0K     0K     0K     0K     0K   0% <atop>         
    718     0K     0K     0K     0K     0K     0K     0K   0% <modprobe>     
    535     0K     0K     0K     0K     0K     0K     0K   0% <hciattach>    
    458     0K     0K     0K     0K     0K     0K     0K   0% <btuart>       
